,Index,Computing machine,NumberOfFeatures,NumberOfInstances,aml60train,aml60test,aml600train,aml600test,aml1200train,aml1200test,h2o60train,h2o60test,h2o600train,h2o600test,h2o1200train,h2o1200test,tpot60train,tpot60test,tpot600train,tpot600test,tpot1200train,tpot1200test,ag60train,ag60test,ag600train,ag600test,ag1200train,ag1200test,aml60algo,aml600algo,aml1200algo,h2o60algo,h2o600algo,h2o1200algo,tpot60algo,tpot600algo,tpot1200algo,ag60algo,ag600algo,ag1200algo
26,464,Desktop,3,250,0.9226,0.9665,0.9219,0.9635,0.9219,0.9635,0.9272,0.9665,0.9254,0.9655,0.9247,0.9645,0.9603,0.9746,0.9697,0.9746,0.9697,0.9746,0.9583,0.9746,0.9583,0.9746,0.9583,0.9746,mlp,logistic_regression,logistic_regression,GLM,DeepLearning,DeepLearning,ExtraTreesClassifier,MLPClassifier,MLPClassifier,NeuralNetFastAI,NeuralNetFastAI,NeuralNetFastAI
27,472,Desktop,4,87,0.845,0.775,0.845,0.775,0.845,0.775,0.9775,0.75,0.9655,0.7875,0.9315,0.7417,0.8745,0.7833,0.8815,0.7833,0.8815,0.7833,1.0,0.8083,1.0,0.8083,1.0,0.8083,logistic_regression,logistic_regression,logistic_regression,GBM,DeepLearning,DeepLearning,LogisticRegression,LogisticRegression,LogisticRegression,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
28,476,Desktop,6,50,0.9697,1.0,0.9697,1.0,0.9697,1.0,0.997,0.9667,0.9909,1.0,1.0,1.0,0.9106,0.9,0.9106,0.9,0.9106,0.9,1.0,0.9667,1.0,0.9667,1.0,0.9667,logistic_regression,logistic_regression,logistic_regression,GBM,GBM,GBM,SGDClassifier,SGDClassifier,SGDClassifier,CatBoost,CatBoost,CatBoost
29,479,Desktop,10,92,0.8708,0.9444,0.8896,0.9222,0.8896,0.9222,0.9922,0.8889,0.9701,0.9,0.9935,0.9111,0.9455,0.9222,0.9455,0.9222,0.9455,0.9222,0.9091,0.9333,0.9091,0.9333,0.9091,0.9333,extra_trees,logistic_regression,logistic_regression,GBM,GBM,GBM,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,NeuralNetTorch,NeuralNetTorch,NeuralNetTorch
30,949,Desktop,5,559,0.8371,0.734,0.8371,0.734,0.8371,0.734,0.8934,0.6896,0.7531,0.6827,0.7829,0.7575,0.9518,0.8043,0.9777,0.7925,0.9714,0.7953,0.8531,0.7814,0.8531,0.7814,0.8531,0.7814,ada_boost,ada_boost,ada_boost,GBM,DeepLearning,DeepLearning,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
31,1037,Desktop,15,4562,0.8994,0.9108,0.8994,0.9108,0.8994,0.9108,0.9394,0.9114,0.9217,0.9084,0.9705,0.9104,0.914,0.9068,0.9196,0.907,0.9148,0.9074,0.9177,0.9095,0.9177,0.9095,0.9177,0.9095,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,GBM,XGBClassifier,XGBClassifier,XGBClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
32,1566,Desktop,101,1212,0.6275,0.731,0.9211,1.0,0.9211,1.0,0.9984,0.9976,0.9984,0.9976,0.9984,0.9976,1.0,0.9978,1.0,0.9978,1.0,0.9978,0.9989,0.987,0.9989,0.987,0.9989,0.987,mlp,logistic_regression,logistic_regression,GLM,GLM,GLM,LogisticRegression,LogisticRegression,LogisticRegression,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
33,744,Desktop,6,250,0.9282,0.9465,0.9282,0.9465,0.9282,0.9465,0.9976,0.9619,0.9999,0.9722,0.9993,0.9681,1.0,0.9537,1.0,0.9588,1.0,0.9588,0.93,0.93,0.93,0.93,0.93,0.93,xgboost_gbtree,xgboost_gbtree,xgboost_gbtree,DeepLearning,XGBoost,XGBoost,XGBClassifier,XGBClassifier,XGBClassifier,XGBoost,XGBoost,XGBoost
34,1558,Desktop,17,4521,0.9065,0.8795,0.9065,0.8795,0.9065,0.8795,0.9966,0.8828,0.9969,0.8805,0.9963,0.8769,0.9389,0.876,0.9776,0.8957,0.9606,0.8777,0.9181,0.8934,0.9181,0.8934,0.9181,0.8934,random_forest,random_forest,random_forest,GBM,XGBoost,XGBoost,GradientBoostingClassifier,GradientBoostingClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
35,1024,Desktop,35,2796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,bagging,bagging,bagging,XGBoost,XGBoost,XGBoost,KNeighborsClassifier,KNeighborsClassifier,KNeighborsClassifier,XGBoost,XGBoost,XGBoost
